batch,pair,condition,panel,metric,correct,n,percent,qualified
matched,2,neither,validation,all,755,768,98.30729166666667,False
matched,2,neither,validation,lookup,244,256,95.3125,
matched,2,neither,validation,lookup_majority,93,256,36.328125,
matched,2,neither,validation,parity,256,256,100.0,
matched,2,neither,validation,parity_majority,131,256,51.171875,
matched,2,neither,validation,sum3,255,256,99.609375,
matched,2,neither,validation,sum3_majority,90,256,35.15625,
matched,2,neither,train_probe,all,768,768,100.0,True
matched,2,neither,train_probe,lookup,256,256,100.0,
matched,2,neither,train_probe,lookup_majority,95,256,37.109375,
matched,2,neither,train_probe,parity,256,256,100.0,
matched,2,neither,train_probe,parity_majority,133,256,51.953125,
matched,2,neither,train_probe,sum3,256,256,100.0,
matched,2,neither,train_probe,sum3_majority,89,256,34.765625,
matched,3,both,validation,all,667,768,86.84895833333333,False
matched,3,both,validation,lookup,160,256,62.5,
matched,3,both,validation,lookup_majority,93,256,36.328125,
matched,3,both,validation,parity,256,256,100.0,
matched,3,both,validation,parity_majority,131,256,51.171875,
matched,3,both,validation,sum3,251,256,98.046875,
matched,3,both,validation,sum3_majority,90,256,35.15625,
matched,3,both,train_probe,all,768,768,100.0,True
matched,3,both,train_probe,lookup,256,256,100.0,
matched,3,both,train_probe,lookup_majority,88,256,34.375,
matched,3,both,train_probe,parity,256,256,100.0,
matched,3,both,train_probe,parity_majority,132,256,51.5625,
matched,3,both,train_probe,sum3,256,256,100.0,
matched,3,both,train_probe,sum3_majority,95,256,37.109375,
matched,3,parameter_only,validation,all,759,768,98.828125,True
matched,3,parameter_only,validation,lookup,247,256,96.484375,
matched,3,parameter_only,validation,lookup_majority,93,256,36.328125,
matched,3,parameter_only,validation,parity,256,256,100.0,
matched,3,parameter_only,validation,parity_majority,131,256,51.171875,
matched,3,parameter_only,validation,sum3,256,256,100.0,
matched,3,parameter_only,validation,sum3_majority,90,256,35.15625,
matched,3,parameter_only,train_probe,all,768,768,100.0,True
matched,3,parameter_only,train_probe,lookup,256,256,100.0,
matched,3,parameter_only,train_probe,lookup_majority,88,256,34.375,
matched,3,parameter_only,train_probe,parity,256,256,100.0,
matched,3,parameter_only,train_probe,parity_majority,132,256,51.5625,
matched,3,parameter_only,train_probe,sum3,256,256,100.0,
matched,3,parameter_only,train_probe,sum3_majority,95,256,37.109375,
matched,3,hidden_only,validation,all,692,768,90.10416666666667,False
matched,3,hidden_only,validation,lookup,181,256,70.703125,
matched,3,hidden_only,validation,lookup_majority,93,256,36.328125,
matched,3,hidden_only,validation,parity,256,256,100.0,
matched,3,hidden_only,validation,parity_majority,131,256,51.171875,
matched,3,hidden_only,validation,sum3,255,256,99.609375,
matched,3,hidden_only,validation,sum3_majority,90,256,35.15625,
matched,3,hidden_only,train_probe,all,768,768,100.0,True
matched,3,hidden_only,train_probe,lookup,256,256,100.0,
matched,3,hidden_only,train_probe,lookup_majority,88,256,34.375,
matched,3,hidden_only,train_probe,parity,256,256,100.0,
matched,3,hidden_only,train_probe,parity_majority,132,256,51.5625,
matched,3,hidden_only,train_probe,sum3,256,256,100.0,
matched,3,hidden_only,train_probe,sum3_majority,95,256,37.109375,
matched,3,neither,validation,all,764,768,99.47916666666667,True
matched,3,neither,validation,lookup,253,256,98.828125,
matched,3,neither,validation,lookup_majority,93,256,36.328125,
matched,3,neither,validation,parity,256,256,100.0,
matched,3,neither,validation,parity_majority,131,256,51.171875,
matched,3,neither,validation,sum3,255,256,99.609375,
matched,3,neither,validation,sum3_majority,90,256,35.15625,
matched,3,neither,train_probe,all,768,768,100.0,True
matched,3,neither,train_probe,lookup,256,256,100.0,
matched,3,neither,train_probe,lookup_majority,88,256,34.375,
matched,3,neither,train_probe,parity,256,256,100.0,
matched,3,neither,train_probe,parity_majority,132,256,51.5625,
matched,3,neither,train_probe,sum3,256,256,100.0,
matched,3,neither,train_probe,sum3_majority,95,256,37.109375,
memory,1,hidden_only,validation,all,689,768,89.71354166666667,False
memory,1,hidden_only,validation,lookup,179,256,69.921875,
memory,1,hidden_only,validation,lookup_majority,93,256,36.328125,
memory,1,hidden_only,validation,parity,256,256,100.0,
memory,1,hidden_only,validation,parity_majority,131,256,51.171875,
memory,1,hidden_only,validation,sum3,254,256,99.21875,
memory,1,hidden_only,validation,sum3_majority,90,256,35.15625,
memory,1,hidden_only,train_probe,all,768,768,100.0,True
memory,1,hidden_only,train_probe,lookup,256,256,100.0,
memory,1,hidden_only,train_probe,lookup_majority,92,256,35.9375,
memory,1,hidden_only,train_probe,parity,256,256,100.0,
memory,1,hidden_only,train_probe,parity_majority,139,256,54.296875,
memory,1,hidden_only,train_probe,sum3,256,256,100.0,
memory,1,hidden_only,train_probe,sum3_majority,91,256,35.546875,
memory,1,hidden_only,length-2,all,256,256,100.0,
memory,1,hidden_only,length-2,lookup,256,256,100.0,
memory,1,hidden_only,length-2,lookup_majority,256,256,100.0,
memory,1,hidden_only,length-4,all,217,256,84.765625,
memory,1,hidden_only,length-4,lookup,217,256,84.765625,
memory,1,hidden_only,length-4,lookup_majority,126,256,49.21875,
memory,1,hidden_only,length-8,all,171,256,66.796875,
memory,1,hidden_only,length-8,lookup,171,256,66.796875,
memory,1,hidden_only,length-8,lookup_majority,98,256,38.28125,
memory,1,hidden_only,length-12,all,172,256,67.1875,
memory,1,hidden_only,length-12,lookup,172,256,67.1875,
memory,1,hidden_only,length-12,lookup_majority,96,256,37.5,
memory,1,lookup_projection,validation,all,712,768,92.70833333333333,False
memory,1,lookup_projection,validation,lookup,201,256,78.515625,
memory,1,lookup_projection,validation,lookup_majority,93,256,36.328125,
memory,1,lookup_projection,validation,parity,255,256,99.609375,
memory,1,lookup_projection,validation,parity_majority,131,256,51.171875,
memory,1,lookup_projection,validation,sum3,256,256,100.0,
memory,1,lookup_projection,validation,sum3_majority,90,256,35.15625,
memory,1,lookup_projection,train_probe,all,768,768,100.0,True
memory,1,lookup_projection,train_probe,lookup,256,256,100.0,
memory,1,lookup_projection,train_probe,lookup_majority,92,256,35.9375,
memory,1,lookup_projection,train_probe,parity,256,256,100.0,
memory,1,lookup_projection,train_probe,parity_majority,139,256,54.296875,
memory,1,lookup_projection,train_probe,sum3,256,256,100.0,
memory,1,lookup_projection,train_probe,sum3_majority,91,256,35.546875,
memory,1,lookup_projection,length-2,all,256,256,100.0,
memory,1,lookup_projection,length-2,lookup,256,256,100.0,
memory,1,lookup_projection,length-2,lookup_majority,256,256,100.0,
memory,1,lookup_projection,length-4,all,209,256,81.640625,
memory,1,lookup_projection,length-4,lookup,209,256,81.640625,
memory,1,lookup_projection,length-4,lookup_majority,126,256,49.21875,
memory,1,lookup_projection,length-8,all,178,256,69.53125,
memory,1,lookup_projection,length-8,lookup,178,256,69.53125,
memory,1,lookup_projection,length-8,lookup_majority,98,256,38.28125,
memory,1,lookup_projection,length-12,all,181,256,70.703125,
memory,1,lookup_projection,length-12,lookup,181,256,70.703125,
memory,1,lookup_projection,length-12,lookup_majority,96,256,37.5,
memory,1,always_projection,validation,all,518,768,67.44791666666667,False
memory,1,always_projection,validation,lookup,184,256,71.875,
memory,1,always_projection,validation,lookup_majority,93,256,36.328125,
memory,1,always_projection,validation,parity,254,256,99.21875,
memory,1,always_projection,validation,parity_majority,131,256,51.171875,
memory,1,always_projection,validation,sum3,80,256,31.25,
memory,1,always_projection,validation,sum3_majority,90,256,35.15625,
memory,1,always_projection,train_probe,all,768,768,100.0,True
memory,1,always_projection,train_probe,lookup,256,256,100.0,
memory,1,always_projection,train_probe,lookup_majority,92,256,35.9375,
memory,1,always_projection,train_probe,parity,256,256,100.0,
memory,1,always_projection,train_probe,parity_majority,139,256,54.296875,
memory,1,always_projection,train_probe,sum3,256,256,100.0,
memory,1,always_projection,train_probe,sum3_majority,91,256,35.546875,
memory,1,always_projection,length-2,all,256,256,100.0,
memory,1,always_projection,length-2,lookup,256,256,100.0,
memory,1,always_projection,length-2,lookup_majority,256,256,100.0,
memory,1,always_projection,length-4,all,203,256,79.296875,
memory,1,always_projection,length-4,lookup,203,256,79.296875,
memory,1,always_projection,length-4,lookup_majority,126,256,49.21875,
memory,1,always_projection,length-8,all,171,256,66.796875,
memory,1,always_projection,length-8,lookup,171,256,66.796875,
memory,1,always_projection,length-8,lookup_majority,98,256,38.28125,
memory,1,always_projection,length-12,all,190,256,74.21875,
memory,1,always_projection,length-12,lookup,190,256,74.21875,
memory,1,always_projection,length-12,lookup_majority,96,256,37.5,
memory,1,neither,validation,all,765,768,99.609375,True
memory,1,neither,validation,lookup,254,256,99.21875,
memory,1,neither,validation,lookup_majority,93,256,36.328125,
memory,1,neither,validation,parity,255,256,99.609375,
memory,1,neither,validation,parity_majority,131,256,51.171875,
memory,1,neither,validation,sum3,256,256,100.0,
memory,1,neither,validation,sum3_majority,90,256,35.15625,
memory,1,neither,train_probe,all,768,768,100.0,True
memory,1,neither,train_probe,lookup,256,256,100.0,
memory,1,neither,train_probe,lookup_majority,92,256,35.9375,
memory,1,neither,train_probe,parity,256,256,100.0,
memory,1,neither,train_probe,parity_majority,139,256,54.296875,
memory,1,neither,train_probe,sum3,256,256,100.0,
memory,1,neither,train_probe,sum3_majority,91,256,35.546875,
memory,1,neither,length-2,all,256,256,100.0,
memory,1,neither,length-2,lookup,256,256,100.0,
memory,1,neither,length-2,lookup_majority,256,256,100.0,
memory,1,neither,length-4,all,256,256,100.0,
memory,1,neither,length-4,lookup,256,256,100.0,
memory,1,neither,length-4,lookup_majority,126,256,49.21875,
memory,1,neither,length-8,all,256,256,100.0,
memory,1,neither,length-8,lookup,256,256,100.0,
memory,1,neither,length-8,lookup_majority,98,256,38.28125,
memory,1,neither,length-12,all,252,256,98.4375,
memory,1,neither,length-12,lookup,252,256,98.4375,
memory,1,neither,length-12,lookup_majority,96,256,37.5,
memory,2,hidden_only,validation,all,674,768,87.76041666666667,False
memory,2,hidden_only,validation,lookup,166,256,64.84375,
memory,2,hidden_only,validation,lookup_majority,93,256,36.328125,
memory,2,hidden_only,validation,parity,253,256,98.828125,
memory,2,hidden_only,validation,parity_majority,131,256,51.171875,
memory,2,hidden_only,validation,sum3,255,256,99.609375,
memory,2,hidden_only,validation,sum3_majority,90,256,35.15625,
memory,2,hidden_only,train_probe,all,768,768,100.0,True
memory,2,hidden_only,train_probe,lookup,256,256,100.0,
memory,2,hidden_only,train_probe,lookup_majority,95,256,37.109375,
memory,2,hidden_only,train_probe,parity,256,256,100.0,
memory,2,hidden_only,train_probe,parity_majority,133,256,51.953125,
memory,2,hidden_only,train_probe,sum3,256,256,100.0,
memory,2,hidden_only,train_probe,sum3_majority,89,256,34.765625,
memory,2,hidden_only,length-2,all,256,256,100.0,
memory,2,hidden_only,length-2,lookup,256,256,100.0,
memory,2,hidden_only,length-2,lookup_majority,256,256,100.0,
memory,2,hidden_only,length-4,all,190,256,74.21875,
memory,2,hidden_only,length-4,lookup,190,256,74.21875,
memory,2,hidden_only,length-4,lookup_majority,126,256,49.21875,
memory,2,hidden_only,length-8,all,164,256,64.0625,
memory,2,hidden_only,length-8,lookup,164,256,64.0625,
memory,2,hidden_only,length-8,lookup_majority,98,256,38.28125,
memory,2,hidden_only,length-12,all,170,256,66.40625,
memory,2,hidden_only,length-12,lookup,170,256,66.40625,
memory,2,hidden_only,length-12,lookup_majority,96,256,37.5,
memory,2,lookup_projection,validation,all,686,768,89.32291666666667,False
